record_date,bank_id,bank_name,city,state,latitude,longitude,blood_group,inventory_units,storage_capacity_units,donations_received,requests_received,units_expired,emergency_event_flag,data_origin,generation_seed
2024-02-09,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,118,143,14,20,0,0,SYNTHETIC_DATA_SET,42
2024-02-10,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,127,143,24,14,1,0,SYNTHETIC_DATA_SET,42
2024-02-11,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,102,143,18,41,2,1,SYNTHETIC_DATA_SET,42
2024-02-12,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,93,143,22,30,1,0,SYNTHETIC_DATA_SET,42
2024-02-13,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,106,143,30,16,1,0,SYNTHETIC_DATA_SET,42
2024-02-14,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,99,143,9,14,2,1,SYNTHETIC_DATA_SET,42
2024-02-15,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,105,143,17,11,0,0,SYNTHETIC_DATA_SET,42
2024-02-16,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,117,143,24,11,1,0,SYNTHETIC_DATA_SET,42
2024-02-17,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,108,143,6,14,1,0,SYNTHETIC_DATA_SET,42
2024-02-18,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,101,143,17,23,1,0,SYNTHETIC_DATA_SET,42
2024-02-19,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,107,143,31,24,1,0,SYNTHETIC_DATA_SET,42
2024-02-20,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,121,143,25,11,0,0,SYNTHETIC_DATA_SET,42
2024-02-21,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,130,143,26,14,3,0,SYNTHETIC_DATA_SET,42
2024-02-22,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,124,143,8,11,3,0,SYNTHETIC_DATA_SET,42
2024-02-23,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,136,143,19,5,2,0,SYNTHETIC_DATA_SET,42
2024-02-24,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,141,143,23,17,1,0,SYNTHETIC_DATA_SET,42
2024-02-25,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,142,143,21,19,1,0,SYNTHETIC_DATA_SET,42
2024-02-26,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,143,143,40,12,0,0,SYNTHETIC_DATA_SET,42
2024-02-27,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,134,143,15,22,2,0,SYNTHETIC_DATA_SET,42
2024-02-28,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,134,143,19,18,1,0,SYNTHETIC_DATA_SET,42
2024-02-29,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,141,143,21,13,1,0,SYNTHETIC_DATA_SET,42
2024-03-01,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,126,143,25,35,5,0,SYNTHETIC_DATA_SET,42
2024-03-02,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,143,143,38,16,0,0,SYNTHETIC_DATA_SET,42
2024-03-03,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,140,143,11,14,0,1,SYNTHETIC_DATA_SET,42
2024-03-04,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,132,143,17,24,1,0,SYNTHETIC_DATA_SET,42
2024-03-05,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,139,143,17,10,0,0,SYNTHETIC_DATA_SET,42
2024-03-06,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,143,143,26,8,1,0,SYNTHETIC_DATA_SET,42
2024-03-07,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,143,143,28,12,0,0,SYNTHETIC_DATA_SET,42
2024-03-08,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,143,143,29,18,2,0,SYNTHETIC_DATA_SET,42
2024-03-09,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,143,143,19,17,0,0,SYNTHETIC_DATA_SET,42
2024-03-10,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,123,143,17,37,0,0,SYNTHETIC_DATA_SET,42
2024-03-11,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,132,143,26,17,0,0,SYNTHETIC_DATA_SET,42
2024-03-12,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,143,143,31,19,1,0,SYNTHETIC_DATA_SET,42
2024-03-13,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,143,143,28,17,6,0,SYNTHETIC_DATA_SET,42
2024-03-14,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,134,143,16,22,3,0,SYNTHETIC_DATA_SET,42
2024-03-15,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,127,143,12,16,3,0,SYNTHETIC_DATA_SET,42
2024-03-16,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,129,143,36,33,1,0,SYNTHETIC_DATA_SET,42
2024-03-17,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,128,143,18,17,2,0,SYNTHETIC_DATA_SET,42
2024-03-18,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,128,143,17,16,1,0,SYNTHETIC_DATA_SET,42
2024-03-19,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,143,143,33,12,0,0,SYNTHETIC_DATA_SET,42
2024-03-20,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,141,143,14,15,1,0,SYNTHETIC_DATA_SET,42
2024-03-21,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,139,143,31,32,1,0,SYNTHETIC_DATA_SET,42
2024-03-22,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,143,143,32,15,0,0,SYNTHETIC_DATA_SET,42
2024-03-23,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,143,143,19,17,0,0,SYNTHETIC_DATA_SET,42
2024-03-24,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,143,143,31,26,0,0,SYNTHETIC_DATA_SET,42
2024-03-25,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,143,143,25,19,4,0,SYNTHETIC_DATA_SET,42
2024-03-26,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,143,143,15,15,0,0,SYNTHETIC_DATA_SET,42
2024-03-27,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,139,143,15,16,3,0,SYNTHETIC_DATA_SET,42
2024-03-28,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,143,143,30,24,2,0,SYNTHETIC_DATA_SET,42
2024-03-29,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,143,143,27,24,2,0,SYNTHETIC_DATA_SET,42
2024-03-30,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,142,143,21,22,0,0,SYNTHETIC_DATA_SET,42
2024-03-31,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,126,143,13,29,0,0,SYNTHETIC_DATA_SET,42
2024-04-01,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,119,143,16,21,2,0,SYNTHETIC_DATA_SET,42
2024-04-02,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,136,143,32,14,1,0,SYNTHETIC_DATA_SET,42
2024-04-03,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,143,143,27,13,1,0,SYNTHETIC_DATA_SET,42
2024-04-04,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,138,143,20,21,4,0,SYNTHETIC_DATA_SET,42
2024-04-05,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,138,143,11,9,2,0,SYNTHETIC_DATA_SET,42
2024-04-06,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,138,143,22,20,2,0,SYNTHETIC_DATA_SET,42
2024-04-07,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,135,143,23,24,2,0,SYNTHETIC_DATA_SET,42
2024-04-08,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,143,143,28,17,1,0,SYNTHETIC_DATA_SET,42
2024-04-09,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,143,143,27,15,0,0,SYNTHETIC_DATA_SET,42
2024-04-10,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,143,143,23,14,3,0,SYNTHETIC_DATA_SET,42
2024-04-11,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,143,143,18,8,3,0,SYNTHETIC_DATA_SET,42
2024-04-12,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,143,143,33,13,3,0,SYNTHETIC_DATA_SET,42
2024-04-13,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,143,143,18,14,2,0,SYNTHETIC_DATA_SET,42
2024-04-14,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,143,143,21,7,2,0,SYNTHETIC_DATA_SET,42
2024-04-15,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,143,143,42,17,1,0,SYNTHETIC_DATA_SET,42
2024-04-16,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,135,143,12,20,0,0,SYNTHETIC_DATA_SET,42
2024-04-17,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,143,143,33,14,0,0,SYNTHETIC_DATA_SET,42
2024-04-18,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,126,143,11,24,4,0,SYNTHETIC_DATA_SET,42
2024-04-19,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,121,143,16,18,3,0,SYNTHETIC_DATA_SET,42
2024-04-20,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,107,143,14,27,1,0,SYNTHETIC_DATA_SET,42
2024-04-21,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,93,143,15,25,4,0,SYNTHETIC_DATA_SET,42
2024-04-22,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,94,143,22,19,2,0,SYNTHETIC_DATA_SET,42
2024-04-23,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,92,143,22,23,1,1,SYNTHETIC_DATA_SET,42
2024-04-24,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,83,143,12,19,2,0,SYNTHETIC_DATA_SET,42
2024-04-25,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,83,143,16,16,0,0,SYNTHETIC_DATA_SET,42
2024-04-26,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,98,143,34,18,1,0,SYNTHETIC_DATA_SET,42
2024-04-27,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,87,143,17,25,3,1,SYNTHETIC_DATA_SET,42
2024-04-28,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,95,143,32,23,1,0,SYNTHETIC_DATA_SET,42
2024-04-29,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,100,143,18,12,1,0,SYNTHETIC_DATA_SET,42
2024-04-30,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,120,143,38,14,4,0,SYNTHETIC_DATA_SET,42
2024-05-01,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,108,143,9,20,1,0,SYNTHETIC_DATA_SET,42
2024-05-02,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,97,143,11,22,0,0,SYNTHETIC_DATA_SET,42
2024-05-03,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,108,143,26,13,2,0,SYNTHETIC_DATA_SET,42
2024-05-04,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,120,143,41,28,1,0,SYNTHETIC_DATA_SET,42
2024-05-05,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,110,143,25,33,2,0,SYNTHETIC_DATA_SET,42
2024-05-06,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,109,143,11,9,3,0,SYNTHETIC_DATA_SET,42
2024-05-07,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,120,143,29,17,1,0,SYNTHETIC_DATA_SET,42
2024-05-08,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,125,143,18,13,0,0,SYNTHETIC_DATA_SET,42
2024-05-09,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,120,143,24,28,1,0,SYNTHETIC_DATA_SET,42
2024-05-10,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,129,143,31,21,1,0,SYNTHETIC_DATA_SET,42
2024-05-11,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,132,143,16,10,3,0,SYNTHETIC_DATA_SET,42
2024-05-12,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,139,143,24,16,1,0,SYNTHETIC_DATA_SET,42
2024-05-13,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,143,143,22,12,2,0,SYNTHETIC_DATA_SET,42
2024-05-14,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,143,143,42,11,2,0,SYNTHETIC_DATA_SET,42
2024-05-15,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,143,143,22,13,1,0,SYNTHETIC_DATA_SET,42
2024-05-16,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,143,143,27,10,1,0,SYNTHETIC_DATA_SET,42
2024-05-17,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,143,143,17,3,1,0,SYNTHETIC_DATA_SET,42
2024-05-18,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,140,143,9,9,3,0,SYNTHETIC_DATA_SET,42
2024-05-19,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,143,143,22,19,0,0,SYNTHETIC_DATA_SET,42
2024-05-20,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,143,143,20,13,1,0,SYNTHETIC_DATA_SET,42
2024-05-21,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,142,143,17,16,2,0,SYNTHETIC_DATA_SET,42
2024-05-22,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,143,143,29,7,3,0,SYNTHETIC_DATA_SET,42
2024-05-23,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,142,143,17,16,2,0,SYNTHETIC_DATA_SET,42
2024-05-24,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,143,143,26,14,3,0,SYNTHETIC_DATA_SET,42
2024-05-25,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,141,143,14,14,2,0,SYNTHETIC_DATA_SET,42
2024-05-26,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,138,143,13,16,0,0,SYNTHETIC_DATA_SET,42
2024-05-27,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,143,143,22,16,0,0,SYNTHETIC_DATA_SET,42
2024-05-28,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,143,143,20,7,1,0,SYNTHETIC_DATA_SET,42
2024-05-29,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,143,143,21,19,2,0,SYNTHETIC_DATA_SET,42
2024-05-30,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,143,143,17,10,2,0,SYNTHETIC_DATA_SET,42
2024-05-31,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,141,143,16,16,2,0,SYNTHETIC_DATA_SET,42
2024-06-01,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,133,143,8,14,2,0,SYNTHETIC_DATA_SET,42
2024-06-02,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,129,143,15,18,1,0,SYNTHETIC_DATA_SET,42
2024-06-03,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,120,143,12,21,0,0,SYNTHETIC_DATA_SET,42
2024-06-04,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,131,143,25,12,2,0,SYNTHETIC_DATA_SET,42
2024-06-05,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,134,143,20,12,5,0,SYNTHETIC_DATA_SET,42
2024-06-06,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,137,143,21,16,2,0,SYNTHETIC_DATA_SET,42
2024-06-07,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,128,143,11,18,2,0,SYNTHETIC_DATA_SET,42
2024-06-08,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,126,143,12,13,1,0,SYNTHETIC_DATA_SET,42
2024-06-09,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,117,143,14,19,4,0,SYNTHETIC_DATA_SET,42
2024-06-10,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,115,143,26,20,8,0,SYNTHETIC_DATA_SET,42
2024-06-11,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,112,143,26,28,1,1,SYNTHETIC_DATA_SET,42
2024-06-12,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,115,143,20,16,1,0,SYNTHETIC_DATA_SET,42
