bank_id,bank_name,city,district,state,latitude,longitude,data_source,collected_at_utc,directory_snapshot
official_42,General Hospital Blood Bank,Thalassery,Kannur,Kerala,11.747531,75.487227,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_43,Malabar Institute of Medical Sciences Blood Bank,Kozhikode,Kozhikode,Kerala,11.245745,75.797985,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_44,Sri. Chamarajendra District Hospital Blood Bank,Hassan,Hassan,Karnataka,13.004537,76.103797,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_45,District Hospital Blood Bank,Kannur,Kannur,Kerala,11.861216,75.370639,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_46,M/s. Indian Red Cross Society Blood Bank,Kundapur,Dakshina Kannada,Karnataka,13.628482,74.690683,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_47,"District Hospital Blood Bank,Kanhangad",Kanhangad,Kasaragod,Kerala,12.314687,75.105095,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_48,The District Surgeon - Wenlock District Hospital Blood Bank,Mangalore,Dakshina Kannada,Karnataka,12.867384,74.843132,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_49,Saint Martin De Porres Hospital Blood Bank,Cherukunnu,Kannur,Kerala,11.994674,75.31285,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_50,Saint Josephs Hospital Blood Bank,Choondal,Thrissur,Kerala,10.616859,76.094656,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_51,District Hospital Blood Bank Karwar,Karwar,Uttara Kannada,Karnataka,14.817283,74.12968,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_52,Jyothi Hospital Blood Bank,Belthangady,Dakshina Kannada,Karnataka,12.991208,75.288255,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_53,Edappal Hospital Private Limited Blood Bank,Edappal,Malappuram,Kerala,10.782696,76.011078,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_54,Metro International Cardiac Centre Blood Bank,Calicut,Kozhikode,Kerala,11.245438,75.836104,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_55,Red Cross Sanjeevini Blood Bank,Shivamogga,Shivamogga,Karnataka,13.933868,75.57183,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_56,Mallegowda District Hospital Blood Bank,Chikkamagaluru,Chikkamagaluru,Karnataka,13.218016,75.251826,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_57,Medical College Hospital Blood Bank,Kozhikode,Kozhikode,Kerala,11.271763,75.836468,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_58,K M C T Hospital Blood Bank,Kozhikode,Kozhikode,Kerala,11.325893,75.971356,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_59,The Uttara Kannada Blood Bank and Health Services Society,Kumta,Uttara Kannada,Karnataka,14.4292776,74.4024452,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_60,Orchid Institute of Health Care and Research Private Limited Blood Bank,Malappuram,Malappuram,Kerala,11.051502,76.06974,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_61,District Hospital Blood Bank,Manathavady,Wayanad,Kerala,11.800634,76.001923,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_62,Community Health Centre (T.H.Q) - General Hospital Blood Bank,Kasaragod,Kasaragod,Kerala,12.503397,74.991726,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_63,Jeeva Raksha Blood Bank,Hassan,Hassan,Karnataka,13.0032624,76.0975902,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_64,M/s. Kanachur Hospital & Research Centre Blood Bank,Mangalore,Dakshina Kannada,Karnataka,12.803421,74.898097,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_65,General Hospital Blood Bank Puttur,Puttur,Dakshina Kannada,Karnataka,12.758344,75.200313,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_66,Jeevadhara Blood Bank,Bhadravathi,Shivamogga,Karnataka,13.844738,75.710033,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_67,City Hospital Research and Diagnostic Centre Blood Bank,Mangalore,Dakshina Kannada,Karnataka,12.87963,74.853044,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_68,Malabar Cancer Centre Society Blood Bank,Thalassery,Kannur,Kerala,11.749387,75.523483,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_69,Amala Cancer Hospital and Research Centre Blood Bank,Amalanagar,Thrissur,Kerala,10.561896,76.168745,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_70,Kasturba Hospital Blood Bank,Manipal,Udupi,Karnataka,13.353846,74.789057,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_71,Fathima Hospital Blood Bank,Kozhikode,Kozhikode,Kerala,11.261961,75.780087,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_72,Badagara sahakarana Asupathri Limited Blood Bank,Vadakara,Kozhikode,Kerala,11.589708,75.595256,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_73,Holy Cross Hospital Blood Bank,Chikkamagaluru,Chikkamagaluru,Karnataka,13.338634,75.80355,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_74,Pandit General Hospital Blood Bank,Karwar,Uttara Kannada,Karnataka,14.32773,74.491531,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_75,Santhi Hospital Blood Bank,Omassery,Kozhikode,Kerala,11.362673,75.964611,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_76,IQRAA Hospital Blood Bank,Malaparamba,Kozhikode,Kerala,11.286398,75.797483,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_77,Medical diagnostic Centre Blood Bank,Kanhangad,Kasaragod,Kerala,12.312192,75.093469,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_78,Saint Joseph Hospital Blood Bank,Mukkom,Kozhikode,Kerala,11.3311361,75.9836769,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_79,Srinivasa Institute of Medical Sciences and Research Centre Blood Bank,Mangalore,Dakshina Kannada,Karnataka,13.021405,74.792037,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_80,Almas Hospital Blood Bank - Chankuvatty,Kottakkal,Malappuram,Kerala,11.00015,75.991133,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_81,K. V. G Medical College Hospital Blood Bank,Sullia,Dakshina Kannada,Karnataka,12.55332,75.384249,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_82,Indian Red Cross Society Blood Bank Mangalore,Mangalore,Dakshina Kannada,Karnataka,12.864857,74.83818,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_83,KMC University Medical Centre Blood Bank,Mangalore,Dakshina Kannada,Karnataka,12.870434,74.844505,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_84,District Hospital Blood Bank Udupi,Udupi,Udupi,Karnataka,13.334045,74.742105,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_85,Bapuji Educational Association S. S. Institute of Medical Sciences and Research Hospital Blood Bank,Davangere,Davangere,Karnataka,14.430349,75.942694,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_86,INDIAN RED CROSS SOCIETY,Davangere,Davangere,Karnataka,14.475314,75.909787,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_87,Sharada Dhanvantari Charitable Hospital Blood Bank,Sringeri,Chikkamagaluru,Karnataka,13.428948,75.254286,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_88,Nitte University Blood Bank,Mangalore,Dakshina Kannada,Karnataka,12.807444,74.888332,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_89,District Hospital Blood Bank,Madikeri,Kodagu,Karnataka,12.418764,75.742555,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_90,Manjunath Orthopaedic and Trauma Centre Hospital Blood Bank,Hassan,Hassan,Karnataka,13.0080708,76.1016262,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_91,The Payyannur Co-operative Hospital Society Limited,Payyannur,Kannur,Kerala,12.106236,75.209538,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_92,Davangere Blood Bank,Davangere,Davangere,Karnataka,14.459198,75.915238,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_93,VISL Hospital Blood Bank,Bhadravati,Shivamogga,Karnataka,13.83034,75.690275,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_94,Bapuji Hospital Blood Bank,Davangere,Davangere,Karnataka,14.4588202,75.9167473,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_95,McGann Hospital Blood Bank,Shimoga,Shivamogga,Karnataka,13.935689,75.562968,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_96,Government General Hospital Blood Bank,Kozhikode,Kozhikode,Kerala,11.256595,75.770942,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_97,M/s. Sahyadri Narayana Multispeciality Hospital Blood Bank,Shimoga,Shivamogga,Karnataka,13.908068,75.560375,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_98,Royal Hospital Blood Bank,Kunnamkulam,Thrissur,Kerala,10.645883,76.067384,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_99,Korambayil Hospital Blood Bank,Manjeri,Malappuram,Kerala,11.123065,76.125653,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_100,Life Line Blood Centre,Patiala,Patiala,Punjab,30.343682,76.399514,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_101, Solan Regional Hospital Blood Bank,Solan,Solan,Himachal Pradesh,30.90738,77.107075,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_102,Mahatma Gandhi Medical Services Blood Bank Rampur,Shimla,Shimla,Himachal Pradesh,31.4470213,77.6294213,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_103,Command Hospital Blood Bank,Panchkula,Panchkula,Haryana,30.712615,76.854089,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_104,District Hospital Panchkula Blood Bank,Panchkula,Panchkula,Haryana,30.710793,76.845878,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_105,Military Hospital Blood Bank,Patiala,Patiala,Punjab,30.326207,76.382177,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_106,Government Medical College and Hospital Blood Bank ,Chandigarh,Chandigarh,Chandigarh,30.709289,76.780536,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_107,Military Hospital Blood Bank Ambala,Ambala,Ambala,Haryana,30.353047,76.833532,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_108,Bilaspur Regional Hospital Blood bank,Bilaspur,Bilaspur,Himachal Pradesh,31.335735,76.765248,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_109,SNM Hospital Blood Bank,Leh ,Leh Ladakh,Jammu and Kashmir,34.153795,77.580209,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_110,Shree MAA Blood Bank,Jagadhri,Yamunanagar,Haryana,30.147696,77.304339,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_111,Reckong Peo Regional Hospital Blood Bank ,Reckong Peo,Kinnaur,Himachal Pradesh,31.539316,78.267034,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_112,Vikarm Hospital Blood Bank,Mandya,Mandya,Karnataka,12.525089,76.8982,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_113,Fatehgarh Sahib Civil Hospital Blood Bank,Fatehgarh Sahib,Fatehgarh Sahib,Punjab,30.646899,76.390134,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_114,Ramakrishna Mission Sevashrana Blood Bank,Haridwar,Haridwar,Uttarakhand,29.933208,78.148128,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_115,Max Super Specialty Hospital Blood Bank,Mohali,S.A.S Nagar (Mohali),Punjab,30.73975,76.714419,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_116,Malhotra Super Speciality Hospital Blood Bank ,Baddi,Solan,Himachal Pradesh,30.9491629,76.8319738,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_117,Rupnagar Civil Hospital Blood Bank ,Rupnagar,Rupnagar,Punjab,30.966052,76.52516,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_118,Sanjeevani Blood Bank,Ambala,Ambala,Haryana,30.339065,76.836686,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_119,Grecian Super Speciality Hospital Blood Bank,Mohali,S.A.S Nagar (Mohali),Punjab,30.691127,76.723553,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
